,hotel name,city,score,review rate,reviews,room type,occupancy,Free cancellation,No prepayment needed,rooms left,price,location rate,bb included
0,"Radisson Blu Hotel, Athlone",Athlone,7.9,Good,6092,Standard Room,Beds: 1 double or 2 twins,Free cancellation,No prepayment needed,5,259.0,No rated,Room Only
1,Sheraton Athlone Hotel,Athlone,8.7,Excellent,5418,Classic King Room,1 king bed,Free cancellation,Prepayment needed,5,275.0, 9.4,Room Only
2,Clayton Hotel Dublin Airport,Cloghran,8.3,Very Good,23489,Deluxe Double & Single Room,"2 beds (1 twin, 1 full)",Free cancellation,Prepayment needed,0,259.0,No rated,Room Only
3,Lawlors Hotel,Naas,8.8,Excellent,2379,Twin Room,2 full beds,Free cancellation,No prepayment needed,2,329.0, 9.4,Room Only
4,The Glendalough Hotel,Laragh,7.1,Good,989,Double or Twin Room,Beds: 1 double or 2 twins,Check Policy,Prepayment needed,4,220.0, 9.5,Breakfast included
5,Hannon's Hotel,Roscommon,7.7,Good,1061,Double Room,1 full bed,Free cancellation,Prepayment needed,4,135.0,No rated,Breakfast included
6,"Mount Errigal Hotel, Conference & Leisure Centre",Letterkenny,7.6,Good,2473,Standard Twin Room,2 twin beds,Check Policy,Prepayment needed,0,135.0,No rated,Room Only
7,Beckett Locke,"Dublin City Centre, Dublin",9.0,Wonderful,5887,Locke Studio,1 queen bed,Check Policy,Prepayment needed,0,296.0,No rated,Room Only
8,The Glenbeigh Hotel,Glenbeigh,8.6,Excellent,893,Standard Twin Room,2 twin beds,Free cancellation,Prepayment needed,1,179.0,No rated,Breakfast included
9,Talbot Hotel Clonmel,Clonmel,7.7,Good,1064,Double Room,1 full bed,Free cancellation,Prepayment needed,3,159.0,No rated,Room Only
10,The Fitzwilton Hotel,Waterford,8.3,Very Good,2570,Double or Twin Room,"2 beds (1 twin, 1 full)",Free cancellation,No prepayment needed,0,190.0,No rated,Room Only
11,Fennessy's Hotel,Clonmel,7.1,Good,732,Twin Room,2 twin beds,Free cancellation,No prepayment needed,3,217.0,No rated,Room Only
12,Maldron Hotel & Leisure Centre Limerick,Limerick,7.9,Good,70,King Room,1 full bed,Free cancellation,No prepayment needed,5,219.0,No rated,Room Only
13,Hodson Bay Hotel,Athlone,7.9,Good,2151,Retreat with Lake View (Adults Only),1 queen bed,Check Policy,Prepayment needed,0,270.0,No rated,Room Only
14,Clanree Hotel & Leisure Centre,Letterkenny,8.5,Very Good,2198,Double or Twin Room,Beds: 1 double or 2 twins,Check Policy,Prepayment needed,0,135.0,No rated,Room Only
15,Ashdown Park Hotel,Gorey,8.5,Very Good,1266,Classic Double or Twin Room,"2 beds (1 twin, 1 full)",Check Policy,Prepayment needed,5,253.0,No rated,Breakfast included
16,Carlton Hotel Dublin Airport,Cloghran,8.1,Very Good,3966,Classic Double Room,1 king bed,Check Policy,Prepayment needed,0,269.0,No rated,Room Only
17,Woodlands Hotel & Leisure Centre,Waterford,8.1,Very Good,2610,Family Room,"3 beds (2 twins, 1 queen)",Free cancellation,No prepayment needed,2,209.0,No rated,Room Only
18,"Powerscourt Hotel, Autograph Collection",Enniskerry,8.9,Excellent,1720,Guestroom with Two Single Beds,2 twin beds,Check Policy,Prepayment needed,0,450.0, 9.5,Room Only
19,Maldron Hotel Dublin Airport,Cloghran,7.7,Good,11305,Twin Room,2 twin beds,Free cancellation,No prepayment needed,0,242.0,No rated,Room Only
20,The Johnstown Estate,Enfield,8.5,Very Good,1221,Deluxe Twin Bedroom,2 twin beds,Check Policy,Prepayment needed,2,279.0,No rated,Breakfast included
21,Maldron Hotel South Mall Cork City,Cork,8.4,Very Good,5148,Deluxe Double Room,1 full bed,Free cancellation,No prepayment needed,6,250.0, 9.4,Room Only
22,Imperial Hotel Cork City,Cork,8.7,Excellent,4401,Classic Double Room,1 full bed,Free cancellation,No prepayment needed,0,230.0, 9.6,Room Only
23,"Belleek Castle, Ballina",Ballina,8.7,Excellent,448,Family Room,Multiple bed types,Check Policy,Prepayment needed,1,299.0, 9.3,Breakfast included
24,The Lakeside Hotel & Leisure Centre,Killaloe,8.8,Excellent,1657,Superior Waterfront Room - Adult Only,1 king bed,Free cancellation,Prepayment needed,0,362.0, 9.4,Breakfast included
25,Cavan Crystal Hotel,Cavan,8.7,Excellent,1627,Double or Twin Room,Beds: 1 double or 2 twins,Check Policy,Prepayment needed,1,254.0,No rated,Breakfast included
26,Maldron Hotel Tallaght,Tallaght,7.3,Good,2728,Double Room,1 full bed,Free cancellation,Prepayment needed,0,219.0,No rated,Room Only
27,Louis Fitzgerald Hotel,Clondalkin,7.7,Good,4465,Double Room,1 full bed,Check Policy,Prepayment needed,0,159.0,No rated,Room Only
28,Castle Arch Hotel,Trim,7.4,Good,1004,Double Room,1 full bed,Free cancellation,No prepayment needed,4,179.0,No rated,Breakfast included
29,"Radisson Blu Hotel, Letterkenny",Letterkenny,8.8,Excellent,4907,Standard Room,Beds: 1 double or 2 twins,Free cancellation,No prepayment needed,0,199.0,No rated,Breakfast included
30,Clonakilty Park Hotel,Clonakilty,8.4,Very Good,1094,Superior Family Room,"3 beds (2 twins, 1 king)",Free cancellation,Prepayment needed,1,239.0,No rated,Room Only
31,"Radisson BLU Hotel & Spa, Little Island Cork",Cork,7.6,Good,4479,Standard Room,Beds: 1 double or 2 twins,Free cancellation,No prepayment needed,0,249.0,No rated,Room Only
32,Radisson Blu Hotel Dublin Airport,Cloghran,8.0,Very Good,8010,Standard Room,1 full bed,Free cancellation,Prepayment needed,0,266.0,No rated,Room Only
33,Mullingar Park Hotel,Mullingar,8.4,Very Good,869,Double Room,1 full bed,Check Policy,Prepayment needed,0,219.0,No rated,Breakfast included
34,The Coachmans Inn,Roscommon,9.1,Wonderful,342,Standard Double Room,1 full bed,Free cancellation,No prepayment needed,0,99.0, 9.4,Room Only
35,Leonardo Hotel Cork,Cork,8.3,Very Good,1037,Standard Double or Twin Room,"2 beds (1 twin, 1 full)",Check Policy,Prepayment needed,0,270.0,No rated,Room Only
36,Silver Tassie Hotel & Spa,Letterkenny,8.6,Excellent,1031,Double or Twin Room,Beds: 1 double or 2 twins,Free cancellation,No prepayment needed,5,155.0,No rated,Breakfast included
37,Lyrath Estate,Kilkenny,8.7,Excellent,2696,Estate View Guestroom,1 full bed,Check Policy,Prepayment needed,1,410.0,No rated,Breakfast included
38,Clayton Hotel Limerick,"Limerick City Centre, Limerick",8.2,Very Good,2166,Double Room,1 full bed,Free cancellation,No prepayment needed,0,289.0,No rated,Room Only
39,Killarney Towers Hotel & Leisure Centre,Killarney,8.6,Excellent,4221,Classic Double Room,1 full bed,Check Policy,Prepayment needed,1,229.0, 9.6,Room Only
40,Motel One Dublin,"Dublin City Centre, Dublin",8.9,Excellent,5279,Standard King Room,1 king bed,Free cancellation,No prepayment needed,0,259.0, 9.7,Room Only
41,The Savoy Hotel,"Limerick City Centre, Limerick",8.5,Very Good,2050,Deluxe King Room,1 king bed,Free cancellation,No prepayment needed,4,295.0, 9.4,Room Only
42,Connemara Sands Hotel & Spa,Clifden,8.9,Excellent,521,Superior Two-Bedroom Suite,"4 beds (2 twins, 1 full, 1 sofa bed)",Free cancellation,No prepayment needed,1,330.0, 9.4,Breakfast included
43,The Dean Galway,Galway,8.4,Very Good,2376,Mod Pod,1 full bed,Check Policy,Prepayment needed,5,349.0,No rated,Room Only
44,Riverside Hotel,Sligo,8.6,Excellent,5734,Double Room,1 queen bed,Check Policy,Prepayment needed,5,199.0,No rated,Room Only
45,Clayton Whites Hotel,Wexford,8.3,Very Good,119,Double & Single Room,"2 beds (1 twin, 1 full)",Free cancellation,No prepayment needed,1,219.0,No rated,Breakfast included
46,Schull Harbour Hotel & Leisure Centre,Schull,8.5,Very Good,846,Superior Double or Twin Room,Multiple bed types,Check Policy,Prepayment needed,2,239.0, 9.5,Room Only
47,Talbot Hotel Wexford,Wexford,8.4,Very Good,4369,Standard Double or Twin Room,Beds: 1 double or 2 twins,Free cancellation,No prepayment needed,5,209.0, 9.3,Room Only
48,Maldron Hotel Sandy Road Galway,Galway,8.0,Very Good,4027,Deluxe Double Room,1 full bed,Free cancellation,No prepayment needed,0,247.0,No rated,Room Only
49,Marlin Hotel Stephens Green,"Saint Stephen's Green, Dublin",8.2,Very Good,11659,Cozy King Room,1 king bed,Free cancellation,No prepayment needed,0,249.0, 9.4,Room Only
75,Castlemartyr Resort Hotel,Castlemartyr,8.7,Excellent,1440,Deluxe King or Twin Room,Multiple bed types,Free cancellation,No prepayment needed,6,329.0,No rated,Breakfast included
76,CityNorth Hotel & Conference Centre,Gormanston,7.8,Good,707,DELUXE ROOM,"2 beds (1 twin, 1 full)",Free cancellation,Prepayment needed,0,177.0,No rated,Room Only
77,Portmarnock Resort & Jameson Golf Links,Portmarnock,8.2,Very Good,2497,Classic Double Room,1 full bed,Free cancellation,No prepayment needed,4,259.0, 9.3,Room Only
78,Abbey Hotel Roscommon,Roscommon,8.2,Very Good,1755,Double Room,1 queen bed,Check Policy,Prepayment needed,5,200.0,No rated,Breakfast included
79,Clayton Hotel Galway,Galway,7.8,Good,4934,Deluxe Double & Single Room,"2 beds (1 twin, 1 full)",Free cancellation,Prepayment needed,0,239.0,No rated,Room Only
80,Castle Hotel,"Parnell Square, Dublin",8.1,Very Good,10659,Double Room,1 full bed,Free cancellation,No prepayment needed,4,309.0,No rated,Breakfast included
81,Fitzpatrick Castle Hotel,Dalkey,8.1,Very Good,1513,Family Room (2 Adults + 2 Children),2 queen beds,Free cancellation,No prepayment needed,5,259.0,No rated,Room Only
82,Belvedere Hotel Parnell Square,"Parnell Square, Dublin",8.4,Very Good,3562,Deluxe Double & Single Room,"2 beds (1 twin, 1 queen)",Free cancellation,No prepayment needed,4,339.0,No rated,Room Only
83,Midlands Park Hotel,Portlaoise,8.7,Excellent,3199,Double or Twin Room,Beds: 1 double or 2 twins,Free cancellation,Prepayment needed,0,260.0,No rated,Room Only
84,Flannery's Hotel,Galway,8.1,Very Good,6524,Twin Room,2 twin beds,Check Policy,Prepayment needed,0,221.0,No rated,Breakfast included
85,Salthill Hotel,"Salthill, Galway",8.2,Very Good,3364,Classic Double Room,1 full bed,Free cancellation,Prepayment needed,0,324.0,No rated,Room Only
86,Clayton Hotel Burlington Road,"Ballsbridge, Dublin",8.3,Very Good,9081,Standard King Room,1 king bed,Free cancellation,No prepayment needed,0,219.0,No rated,Room Only
87,Parknasilla Resort & Spa,Sneem,9.0,Wonderful,1235,Double Room with Mountain View,1 full bed,Check Policy,Prepayment needed,2,355.0, 9.7,Breakfast included
88,Great National Ballykisteen Golf Hotel,Tipperary,7.8,Good,1515,Double Room,1 full bed,Free cancellation,Prepayment needed,4,224.0,No rated,Room Only
89,Cork International Hotel,Cork,8.7,Excellent,3837,Signature Double or Twin Room,"2 beds (1 twin, 1 full)",Free cancellation,No prepayment needed,1,219.0,No rated,Room Only
90,Talbot Hotel Carlow,Carlow,8.0,Very Good,1475,Family Room,"2 beds (1 twin, 1 full)",Free cancellation,No prepayment needed,3,280.0,No rated,Breakfast included
91,The Glasshouse,Sligo,8.6,Excellent,4308,Double Room,1 full bed,Free cancellation,No prepayment needed,3,252.0, 9.6,Breakfast included
92,The Croke Park Hotel,"Drumcondra, Dublin",8.7,Excellent,3769,Double Room,1 queen bed,Free cancellation,No prepayment needed,0,309.0,No rated,Room Only
93,Royal Marine Hotel,Dun Laoghaire,8.2,Very Good,5510,Executive King Room,1 queen bed,Check Policy,Prepayment needed,2,249.0, 9.4,Room Only
94,Clayton Hotel & Leisure Club Sligo,Sligo,8.1,Very Good,3306,Double Room with Extra Bed,"2 beds (1 twin, 1 full)",Free cancellation,No prepayment needed,0,209.0,No rated,Room Only
95,Sligo Park Hotel & Leisure Club,Sligo,8.8,Excellent,1783,Double or Twin Room,Beds: 1 double or 2 twins,Free cancellation,Prepayment needed,0,208.0,No rated,Room Only
96,"Crowne Plaza Dublin Blanchardstown, an IHG Hotel",Blanchardstown,8.7,Excellent,1856,Standard  Room,1 full bed,Free cancellation,No prepayment needed,7,248.0,No rated,Room Only
97,Maldron Hotel Shandon Cork City,Cork,7.7,Good,3200,Double and Single Bed Room,"2 beds (1 twin, 1 full)",Free cancellation,Prepayment needed,6,245.0,No rated,Room Only
98,Academy Plaza Hotel,"Parnell Square, Dublin",8.1,Very Good,8692,Double Room,1 full bed,Free cancellation,No prepayment needed,6,299.0, 9.3,Room Only
99,The Riverside Park Hotel,Enniscorthy,8.4,Very Good,3558,Family Room (2 Adults + 1 Child),"2 beds (1 twin, 1 full)",Free cancellation,Prepayment needed,1,244.0,No rated,Room Only
125,Station House Hotel Letterkenny,Letterkenny,8.7,Excellent,2311,Twin Room,2 twin beds,Free cancellation,No prepayment needed,1,173.0,No rated,Room Only
126,Haddington House,Dun Laoghaire,9.0,Wonderful,1022,Standard Double or Twin Room,1 full bed,Free cancellation,Prepayment needed,1,325.0, 9.7,Room Only
127,Clayton Hotel Cardiff Lane,"Dublin City Centre, Dublin",7.7,Good,10569,Deluxe Double Room,1 full bed,Free cancellation,No prepayment needed,6,289.0,No rated,Room Only
128,Eyre Square Hotel,Galway,7.3,Good,3540,Double Room,1 full bed,Free cancellation,Prepayment needed,0,319.0, 9.4,Room Only
129,Brook Lane Hotel,Kenmare,9.2,Wonderful,950,Superior King Room,Beds: 1 double or 2 twins,Check Policy,Prepayment needed,2,231.0, 9.4,Breakfast included
130,Claregalway Hotel,Claregalway,8.5,Very Good,3709,Double Room,1 full bed,Free cancellation,No prepayment needed,0,219.0,No rated,Room Only
131,Leonardo Hotel Dublin Parnell Street,"Dublin City Centre, Dublin",8.1,Very Good,1934,Standard Twin Room,"2 beds (1 twin, 1 full)",Free cancellation,Prepayment needed,0,280.0,No rated,Room Only
132,Leonardo Hotel Galway,Galway,8.3,Very Good,1666,Family Room (2 Adults + 2 Children),"2 beds (1 full, 1 sofa bed)",Free cancellation,Prepayment needed,0,399.0, 9.7,Room Only
133,The Gibson Hotel,"Dublin City Centre, Dublin",8.6,Excellent,1201,Superior Double Room,1 full bed,Free cancellation,Prepayment needed,0,329.0, 9.3,Room Only
134,Carrick Plaza Suites and Apartments,Carrick on Shannon,8.7,Excellent,1015,Classic Quadruple Room,4 twin beds,Check Policy,Prepayment needed,1,209.0, 9.6,Room Only
135,Maldron Hotel Portlaoise,Portlaoise,7.8,Good,1941,Standard Double Single Room,"2 beds (1 twin, 1 full)",Free cancellation,No prepayment needed,3,199.0,No rated,Room Only
136,"Treacys Oakwood Hotel, Shannon",Shannon,8.1,Very Good,1737,Triple Room,"2 beds (1 twin, 1 full)",Check Policy,Prepayment needed,0,220.0,No rated,Room Only
137,Bonnington Hotel & Leisure Centre,Dublin,7.5,Good,5317,Classic Double or Twin Room,Beds: 1 double or 2 twins,Check Policy,Prepayment needed,0,312.0,No rated,Room Only
138,Lawlors Hotel,Dungarvan,7.1,Good,1277,Double Room,1 full bed,Check Policy,Prepayment needed,0,222.0,No rated,Breakfast included
139,Abbey Hotel Donegal,Donegal,7.7,Good,2241,Twin Room - Room Only,"2 beds (1 twin, 1 full)",Check Policy,Prepayment needed,7,165.0,No rated,Room Only
140,The River Lee Hotel a member of The Doyle Collection,Cork,8.7,Excellent,2393,Classic Double Room with River View,2 full beds,Check Policy,Prepayment needed,0,266.0, 9.3,Room Only
141,Flynns of Termonfeckin Boutique Hotel,Termonfeckin,8.6,Excellent,1056,One-Bedroom Cottage,"2 beds (1 sofa bed, 1 queen)",Free cancellation,No prepayment needed,1,270.0,No rated,Breakfast included
142,"Radisson BLU Hotel & Spa, Sligo",Sligo,8.5,Very Good,4299,Standard Room,Beds: 1 double or 2 twins,Free cancellation,Prepayment needed,0,213.0,No rated,Breakfast included
143,Bush Hotel,Carrick on Shannon,8.4,Very Good,1678,Standard Double Room,1 full bed,Check Policy,Prepayment needed,1,279.0, 9.5,Room Only
144,The Club at Goffs,Kill,9.2,Wonderful,543,Standard Twin Room,2 twin beds,Check Policy,Prepayment needed,4,330.0,No rated,Breakfast included
145,The Montenotte Hotel,Cork,8.8,Excellent,2173,Executive Room,1 king bed,Free cancellation,No prepayment needed,0,325.0,No rated,Room Only
146,Fairways Hotel Dundalk,Dundalk,8.5,Very Good,1624,Double or Twin Room,"2 beds (1 twin, 1 full)",Check Policy,Prepayment needed,0,171.0,No rated,Room Only
147,Leonardo Hotel Dublin Christchurch,"Dublin City Centre, Dublin",8.4,Very Good,1198,Standard Twin Room,"2 beds (1 twin, 1 full)",Free cancellation,Prepayment needed,0,300.0, 9.6,Room Only
148,The Glenside Hotel,Drogheda,8.5,Very Good,778,Family Room,"2 beds (1 twin, 1 full)",Check Policy,Prepayment needed,2,207.0,No rated,Breakfast included
149,Beresford Hotel,"Dublin City Centre, Dublin",7.5,Good,10962,Twin Room,2 twin beds,Check Policy,Prepayment needed,0,234.0,No rated,Room Only
150,Killashee Hotel,Naas,8.4,Very Good,2714,Double or Twin Room,2 full beds,Free cancellation,No prepayment needed,3,265.0,No rated,Breakfast included
151,Mulroy Woods Hotel,Milford,7.9,Good,565,Deluxe Double Room,1 full bed,Free cancellation,No prepayment needed,4,129.0,No rated,Breakfast included
152,Kilronan Castle Hotel & Spa,Ballyfarnon,8.9,Excellent,1651,Classic King Room,1 king bed,Check Policy,Prepayment needed,3,229.0,No rated,Breakfast included
153,Clybaun Hotel,"Salthill, Galway",8.0,Very Good,3375,Standard Double/Twin Room,Beds: 1 double or 2 twins,Free cancellation,No prepayment needed,4,269.0,No rated,Room Only
154,The Gateway Hotel,Dundalk,8.5,Very Good,1288,Twin Room,2 full beds,Free cancellation,No prepayment needed,0,208.0,No rated,Room Only
155,Aherlow House Hotel & Lodges,Aherlow,8.2,Very Good,1283,Twin Room,"2 beds (1 twin, 1 full)",Free cancellation,No prepayment needed,3,185.0,No rated,Breakfast included
156,Woodford Dolmen Hotel Carlow,Carlow,8.2,Very Good,1479,Double Room,1 full bed,Free cancellation,No prepayment needed,2,209.0,No rated,Breakfast included
157,Arlington Hotel O'Connell Bridge,"Dublin City Centre, Dublin",8.0,Very Good,6757,Standard Double Room,1 full bed,Check Policy,Prepayment needed,4,255.0, 9.6,Room Only
158,Dingle Bay Hotel,Dingle,8.8,Excellent,1421,Double Room,1 full bed,Free cancellation,No prepayment needed,1,259.0, 9.7,Breakfast included
159,The Fleet,"Temple Bar, Dublin",8.4,Very Good,5950,Deluxe Double Room,1 full bed,Check Policy,Prepayment needed,1,374.0, 9.6,Room Only
160,Clayton Hotel Charlemont,"Dublin City Centre, Dublin",8.7,Excellent,5123,Deluxe Double,1 full bed,Free cancellation,No prepayment needed,1,259.0,No rated,Room Only
161,Maldron Hotel Kevin Street,"Dublin City Centre, Dublin",8.2,Very Good,6926,Deluxe Twin Room,2 twin beds,Free cancellation,No prepayment needed,4,315.0,No rated,Room Only
162,Staycity Aparthotels Dublin City Quay,"Dublin City Centre, Dublin",8.6,Excellent,6202,Studio,Multiple bed types,Free cancellation,No prepayment needed,0,300.0,No rated,Room Only
163,Knightsbrook Hotel & Golf Resort,Trim,7.7,Good,1050,Deluxe Twin Room,2 twin beds,Free cancellation,No prepayment needed,1,259.0,No rated,Room Only
164,Carton House A Fairmont Managed hotel,Maynooth,9.0,Wonderful,885,Fairmont Signature Suite,1 king bed,Free cancellation,No prepayment needed,1,4020.0, 9.4,Room Only
165,Clayton Hotel Silver Springs,Cork,7.5,Good,2619,Deluxe Double Room,1 full bed,Check Policy,Prepayment needed,0,170.0,No rated,Room Only
166,The Samuel Hotel,"Dublin City Centre, Dublin",8.5,Very Good,9671,Deluxe Double Room,1 full bed,Free cancellation,No prepayment needed,4,339.0,No rated,Room Only
167,Armada Hotel,Spanish Point,9.1,Wonderful,816,Twin Room,"2 beds (1 twin, 1 full)",Check Policy,Prepayment needed,3,336.0, 9.7,Breakfast included
168,An Grianan Hotel,Burt,8.9,Excellent,1083,Double or Twin Room,Beds: 1 double or 2 twins,Free cancellation,No prepayment needed,4,162.0,No rated,Breakfast included
169,Emmet Hotel,Clonakilty,8.7,Excellent,776,Family Room,"3 beds (2 twins, 1 full)",Free cancellation,Prepayment needed,1,269.0, 9.6,Room Only
170,Kildare House Hotel,Kildare,8.3,Very Good,1345,Double Room,1 full bed,Check Policy,Prepayment needed,3,176.0,No rated,Room Only
171,The Spencer Hotel,"Dublin City Centre, Dublin",8.4,Very Good,3838,Classic Queen Room,1 queen bed,Free cancellation,No prepayment needed,0,268.0,No rated,Room Only
172,"Holiday Inn Express Dublin City Centre, an IHG Hotel","Parnell Square, Dublin",8.5,Very Good,6960,Room allocated on arrival,1 queen bed,Check Policy,Prepayment needed,5,283.0, 9.5,Breakfast included
173,Radisson Blu St. Helen's Hotel,Stillorgan,8.2,Very Good,2920,Standard Room,Beds: 1 double or 2 twins,Check Policy,Prepayment needed,0,216.0,No rated,Room Only
174,The Old Quarter Townhouse,"Limerick City Centre, Limerick",8.2,Very Good,5693,Double Room,1 full bed,Free cancellation,No prepayment needed,2,219.0,No rated,Room Only
175,Temple Bar Hotel,"Temple Bar, Dublin",8.2,Very Good,4791,Budget Double Room,1 full bed,Free cancellation,No prepayment needed,3,399.0, 9.6,Room Only
176,The Address Connolly,"Dublin City Centre, Dublin",8.1,Very Good,4167,Double Room,1 king bed,Free cancellation,Prepayment needed,0,342.0,No rated,Room Only
177,Maldron Hotel Parnell Square,"Parnell Square, Dublin",8.3,Very Good,9740,Deluxe Double Room,1 full bed,Free cancellation,No prepayment needed,0,359.0,No rated,Room Only
178,Mill Park Hotel,Donegal,9.0,Wonderful,2975,Triple Room,"2 beds (1 twin, 1 full)",Check Policy,Prepayment needed,0,225.0,No rated,Breakfast included
179,Drury Court Hotel,"Saint Stephen's Green, Dublin",9.0,Wonderful,3725,Twin Room,2 twin beds,Free cancellation,No prepayment needed,3,289.0, 9.8,Room Only
180,Westenra Arms Hotel,Monaghan,8.4,Very Good,810,Standard Double Room,1 full bed,Check Policy,Prepayment needed,3,185.0, 9.4,Room Only
181,Ballyliffin Hotel,Ballyliffin,8.0,Very Good,642,Double Room,1 full bed,Free cancellation,No prepayment needed,4,180.0,No rated,Breakfast included
182,Iveagh Garden Hotel,"Saint Stephen's Green, Dublin",8.6,Excellent,3951,Deluxe Double Room,1 queen bed,Check Policy,Prepayment needed,0,278.0, 9.4,Room Only
183,Great National Hotel Ballina,Ballina,7.8,Good,1984,Deluxe Double Room,1 king bed,Free cancellation,No prepayment needed,4,189.0,No rated,Room Only
184,Jackson's Hotel & Leisure Centre,Ballybofey,8.1,Very Good,1146,Double or Twin Room,Beds: 1 double or 2 twins,Free cancellation,No prepayment needed,2,194.0,No rated,Room Only
185,Hotel 7,"Parnell Square, Dublin",8.9,Excellent,4415,Twin Room,2 twin beds,Free cancellation,No prepayment needed,2,329.0,No rated,Room Only
186,Temple Bar Inn,"Temple Bar, Dublin",8.5,Very Good,4662,Twin Room,2 twin beds,Free cancellation,No prepayment needed,1,269.0, 9.6,Room Only
187,Hibernian Hotel & Leisure Centre,Mallow,7.3,Good,857,Standard Triple Room,"2 beds (1 twin, 1 queen)",Free cancellation,No prepayment needed,4,176.0,No rated,Room Only
188,Inishowen Gateway Hotel,Buncrana,8.4,Very Good,1048,Double or Twin Room,Multiple bed types,Check Policy,Prepayment needed,1,179.0,No rated,Room Only
189,Westport Country Lodge Hotel,Westport,8.2,Very Good,1266,Twin Room,"2 beds (1 twin, 1 king)",Check Policy,Prepayment needed,7,219.0,No rated,Breakfast included
190,The Ashe Hotel,Tralee,9.0,Wonderful,1937,Deluxe  Super Twin Room,2 twin beds,Check Policy,Prepayment needed,2,280.0, 9.4,Breakfast included
191,Dillonâ€™s Hotel,Letterkenny,8.5,Very Good,2067,Deluxe Family Room,Multiple bed types,Free cancellation,No prepayment needed,4,300.0, 9.4,Breakfast included
192,Trim Castle Hotel,Trim,8.5,Very Good,1223,Deluxe Double Room,1 full bed,Check Policy,Prepayment needed,2,260.0, 9.3,Breakfast included
193,The Hendrick Smithfield,"Dublin City Centre, Dublin",7.9,Good,5861,Double Room,1 queen bed,Check Policy,Prepayment needed,0,251.0,No rated,Room Only
194,NYX Hotel Dublin Portobello,"Dublin City Centre, Dublin",8.8,Excellent,1768,Superior King Room,1 king bed,Free cancellation,Prepayment needed,0,296.0,No rated,Room Only
195,Kettles Country House Hotel,Swords,8.6,Excellent,1910,Triple Room,"2 beds (1 twin, 1 full)",Free cancellation,Prepayment needed,1,239.0,No rated,Room Only
