,hotel name,city,score,review rate,reviews,room type,occupancy,Free cancellation,No prepayment needed,rooms left,price,location rate,bb included
196,Shamrock Lodge Hotel,Athlone,8.4,Very Good,2116,Two Bedroom Suite (4 Adults),Multiple bed types,Free cancellation,Prepayment needed,1,320.0,No rated,Room Only
197,Forty Four Main Street,Swords,8.1,Very Good,1553,Standard Double Room,1 full bed,Check Policy,Prepayment needed,0,220.0,No rated,Room Only
198,Grand Canal Hotel,"Ballsbridge, Dublin",8.7,Excellent,5330,Twin Room,2 twin beds,Free cancellation,Prepayment needed,0,240.0,No rated,Room Only
199,Hampton By Hilton Dublin City Centre,"Dublin City Centre, Dublin",8.6,Excellent,6603,Queen Room,1 queen bed,Check Policy,Prepayment needed,0,265.0,No rated,Breakfast included
200,The Frontier Hotel,Bridgend,8.3,Very Good,564,Double Room,1 full bed,Check Policy,Prepayment needed,4,131.0,No rated,Breakfast included
201,Glenroyal Hotel,Maynooth,8.1,Very Good,3587,Deluxe King Room,1 full bed,Free cancellation,Prepayment needed,7,248.0,No rated,Room Only
202,Lahinch Coast Hotel and Suites,Lahinch,8.6,Excellent,2568,Twin Room,2 twin beds,Free cancellation,Prepayment needed,1,184.0, 9.5,Room Only
203,Ballymascanlon Hotel and Golf Resort,Dundalk,8.5,Very Good,1085,Double Room,1 full bed,Free cancellation,No prepayment needed,1,265.0,No rated,Breakfast included
204,The Ellison,Castlebar,8.5,Very Good,1303,Deluxe King Room,1 queen bed,Free cancellation,Prepayment needed,1,274.0,No rated,Room Only
205,"Maldron Hotel, Newlands Cross",Clondalkin,8.2,Very Good,135,Deluxe Double Room,1 full bed,Free cancellation,Prepayment needed,0,214.0,No rated,Room Only
206,Clayton Hotel Liffey Valley,Clondalkin,7.3,Good,947,Deluxe Double Room,1 full bed,Free cancellation,No prepayment needed,0,309.0,No rated,Room Only
207,Travelodge Dublin Airport North 'Swords',Swords,6.9,Not Good,4753,Triple Room,"2 beds (1 twin, 1 full)",Check Policy,Prepayment needed,0,189.0,No rated,Room Only
208,Diamond Coast Hotel,Enniscrone,8.7,Excellent,727,Family Room,2 full beds,Free cancellation,No prepayment needed,0,280.0,No rated,Breakfast included
209,McWilliam Park Hotel,Claremorris,8.1,Very Good,1372,Double Room,1 full bed,Check Policy,Prepayment needed,0,161.0,No rated,Room Only
210,Kee's Hotel,Stranorlar,8.3,Very Good,2028,Double Room,1 full bed,Check Policy,Prepayment needed,1,155.0,No rated,Breakfast included
211,"Castlecourt Hotel, Spa & Leisure",Westport,8.7,Excellent,1562,Double Room,1 full bed,Check Policy,Prepayment needed,0,389.0, 9.5,Breakfast included
212,The Heritage,Killenard,8.7,Excellent,1920,Standard Double Room,1 king bed,Check Policy,Prepayment needed,0,303.0,No rated,Breakfast included
213,Maldron Hotel Merrion Road,Dublin,8.6,Excellent,3515,Deluxe Double Room,1 full bed,Free cancellation,No prepayment needed,0,259.0,No rated,Room Only
214,Hilton Garden Inn Dublin City Centre,"Dublin City Centre, Dublin",8.3,Very Good,4683,King Room,1 king bed,Check Policy,Prepayment needed,6,281.0,No rated,Room Only
215,Commodore Hotel,Cobh,8.2,Very Good,2226,Superior Queen Room,1 full bed,Free cancellation,Prepayment needed,1,195.0, 9.5,Room Only
216,Camden Court Hotel,"Dublin City Centre, Dublin",8.6,Excellent,6769,Double Room,1 full bed,Free cancellation,No prepayment needed,5,393.0,No rated,Room Only
217,Midleton Park Hotel,Midleton,8.3,Very Good,1979,Classic Double Room,1 queen bed,Free cancellation,Prepayment needed,3,189.0,No rated,Room Only
218,Grand Hotel,Malahide,8.3,Very Good,3067,Superior Twin Room,2 twin beds,Free cancellation,Prepayment needed,1,285.0, 9.5,Room Only
219,Albany House,"Saint Stephen's Green, Dublin",8.3,Very Good,2991,Double Room,1 full bed,Free cancellation,Prepayment needed,5,315.0, 9.3,Room Only
220,Absolute Hotel Limerick,"Limerick City Centre, Limerick",8.8,Excellent,3253,Classic Double Room,1 queen bed,Free cancellation,Prepayment needed,2,269.0,No rated,Room Only
221,The Kenmare Bay Hotel & Leisure Resort,Kenmare,8.2,Very Good,2031,Deluxe Double and Single Bed Room,"2 beds (1 twin, 1 full)",Free cancellation,No prepayment needed,2,239.0,No rated,Room Only
222,Blooms Hotel,"Temple Bar, Dublin",7.5,Good,5399,Double Room,1 full bed,Free cancellation,Prepayment needed,1,279.0, 9.5,Room Only
223,Ballina Manor Hotel,Ballina,8.0,Very Good,1281,Double Room with Street View,1 full bed,Free cancellation,No prepayment needed,4,269.0,No rated,Breakfast included
224,Redcastle Hotel,Moville,8.1,Very Good,1722,Double or Twin Room,Multiple bed types,Check Policy,Prepayment needed,5,268.0,No rated,Room Only
225,Granville Hotel,Waterford,8.8,Excellent,3308,King Room,1 king bed,Free cancellation,No prepayment needed,1,225.0, 9.6,Room Only
226,Loughrea Hotel & Spa,Loughrea,8.2,Very Good,822,Deluxe King Room,1 king bed,Check Policy,Prepayment needed,6,214.0,No rated,Breakfast included
227,Crown Quarter,Wexford,8.5,Very Good,1763,Double or Twin Room,Beds: 1 double or 2 twins,Check Policy,Prepayment needed,4,189.0, 9.4,Room Only
228,Old Ground Hotel,Ennis,8.8,Excellent,1332,Double or Twin Room,Beds: 1 double or 2 twins,Free cancellation,No prepayment needed,4,225.0, 9.6,Room Only
229,Maldron Hotel Wexford,Wexford,7.6,Good,2181,Triple Room,2 full beds,Free cancellation,No prepayment needed,3,205.0,No rated,Room Only
230,Wren Urban Nest,"Dublin City Centre, Dublin",8.8,Excellent,7767,Cozy Nest,1 full bed,Free cancellation,No prepayment needed,0,269.0, 9.8,Room Only
231,The Great Northern Hotel,Bundoran,7.5,Good,1118,Double Room,1 full bed,Check Policy,Prepayment needed,0,215.0,No rated,Breakfast included
232,Osprey Hotel,Naas,8.0,Very Good,1684,Classic Double Room,1 king bed,Check Policy,Prepayment needed,0,250.0,No rated,Breakfast included
233,The Trinity City Hotel,"Dublin City Centre, Dublin",8.3,Very Good,4417,Double Room,1 full bed,Free cancellation,No prepayment needed,0,296.0, 9.4,Room Only
234,The Ritz House,Lisdoonvarna,8.3,Very Good,366,Standard Family Room,2 full beds,Check Policy,Prepayment needed,1,275.0,No rated,Breakfast included
235,Kinsale Hotel & Spa,Kinsale,8.4,Very Good,1789,Classic Family Room (2 Adults + 1 Child),"2 beds (1 twin, 1 full)",Free cancellation,No prepayment needed,1,319.0,No rated,Breakfast included
236,The Harbour Inn,Buncrana,9.1,Wonderful,1738,Triple Room,3 twin beds,Free cancellation,No prepayment needed,2,155.0,No rated,Room Only
237,Bracken Court Hotel,Balbriggan,8.3,Very Good,1437,Double Room,1 full bed,Free cancellation,Prepayment needed,6,204.0,No rated,Breakfast included
238,Herbert Park Hotel and Park Residence,"Ballsbridge, Dublin",8.6,Excellent,5089,Double room,2 full beds,Free cancellation,Prepayment needed,0,256.0,No rated,Room Only
239,Hotel Woodstock Ennis,Ennis,7.8,Good,1151,Superior Double Room,1 queen bed,Check Policy,Prepayment needed,3,215.0,No rated,Room Only
240,Oranmore Lodge Hotel Conference And Leisure Centre Galway,Oranmore,8.1,Very Good,2408,Double or Twin Room,2 full beds,Free cancellation,Prepayment needed,4,205.0,No rated,Room Only
241,Radisson Blu Royal Hotel Dublin,"Dublin City Centre, Dublin",8.8,Excellent,2803,Premium Room,1 king bed,Check Policy,Prepayment needed,3,401.0, 9.3,Room Only
242,Shearwater Hotel & Spa,Ballinasloe,8.5,Very Good,652,Double or Twin Room,Beds: 1 double or 2 twins,Free cancellation,No prepayment needed,1,149.0,No rated,Room Only
243,Tulfarris Hotel and Golf Resort,Blessington,8.4,Very Good,758,Deluxe Double Room,1 full bed,Free cancellation,Prepayment needed,3,259.0,No rated,Breakfast included
244,Cliffs of Moher Hotel,Liscannor,8.7,Excellent,845,Standard Double or Twin Room,"2 beds (1 twin, 1 full)",Free cancellation,No prepayment needed,2,220.0,No rated,Room Only
245,Breaffy House Hotel and Spa,Castlebar,8.4,Very Good,1646,Family Room (2 Adults + 1 Child),"2 beds (1 twin, 1 full)",Free cancellation,Prepayment needed,2,244.0,No rated,Breakfast included
246,Clayton Hotel Leopardstown,Leopardstown,7.7,Good,4894,Deluxe Family Room,"3 beds (2 twins, 1 full)",Free cancellation,No prepayment needed,0,218.0,No rated,Room Only
247,Harding Hotel,"Temple Bar, Dublin",8.6,Excellent,3429,Double or Twin Room,Multiple bed types,Free cancellation,No prepayment needed,1,259.0, 9.6,Room Only
248,Staycity Aparthotels Dublin Tivoli,"Dublin City Centre, Dublin",8.9,Excellent,5780,Studio,1 queen bed,Check Policy,Prepayment needed,0,256.0,No rated,Room Only
249,Mespil Hotel,"Ballsbridge, Dublin",8.9,Excellent,3398,Superior King Room,1 king bed,Free cancellation,No prepayment needed,3,229.0,No rated,Room Only
250,Ard Ri House Hotel,Tuam,8.2,Very Good,322,Twin Room,Multiple bed types,Free cancellation,No prepayment needed,5,209.0,No rated,Breakfast included
251,Talbot Hotel Stillorgan,Stillorgan,8.0,Very Good,3428,Double Room,1 full bed,Free cancellation,Prepayment needed,2,169.0,No rated,Room Only
252,Errigal Country House Hotel,Cootehill,7.7,Good,391,Twin Room,"2 beds (1 twin, 1 full)",Free cancellation,No prepayment needed,6,207.0,No rated,Breakfast included
253,"Crowne Plaza Dublin Airport, an IHG Hotel",Santry,8.7,Excellent,1887,Double or Twin Room,Beds: 1 double or 2 twins,Check Policy,Prepayment needed,0,215.0,No rated,Room Only
254,Boyne Valley Hotel - Bed & Breakfast Only,Drogheda,7.9,Good,1213,Superior Double Room,1 queen bed,Free cancellation,Prepayment needed,0,205.0,No rated,Breakfast included
255,Murphy's Hotel,Tobercurry,8.3,Very Good,560,Twin Room,Multiple bed types,Free cancellation,Prepayment needed,1,146.0,No rated,Breakfast included
256,Seven Oaks Hotel,Carlow,7.8,Good,900,Double Room,1 full bed,Free cancellation,Prepayment needed,1,199.0,No rated,Breakfast included
257,Cassidys Hotel,"Parnell Square, Dublin",8.3,Very Good,4364,Double Room,1 full bed,Check Policy,Prepayment needed,4,269.0, 9.3,Room Only
258,The Shirley Arms Hotel,Carrickmacross,8.9,Excellent,499,Double Room,1 full bed,Free cancellation,No prepayment needed,6,209.0,No rated,Breakfast included
259,Aghadoe Heights Hotel & Spa,"Aghadoe, Killarney",8.5,Very Good,1178,Garden Superior Room,1 king bed,Check Policy,Prepayment needed,1,549.0,No rated,Breakfast included
260,"Westport Plaza Hotel, Spa & Leisure",Westport,8.8,Excellent,1011,King Room,1 king bed,Check Policy,Prepayment needed,0,297.0, 9.6,Breakfast included
261,Athlone Springs Hotel,Athlone,8.3,Very Good,1475,Classic double room,1 full bed,Free cancellation,Prepayment needed,0,244.0,No rated,Room Only
262,Fitzpatrick's Tavern and Hotel,Cavan,7.9,Good,190,Deluxe Double or Twin Room,Beds: 1 double or 2 twins,Check Policy,Prepayment needed,4,125.0,No rated,Breakfast included
263,Treacy's Hotel Wexford,Enniscorthy,7.1,Good,733,Double Room,1 full bed,Check Policy,Prepayment needed,4,179.0,No rated,Breakfast included
264,Faithlegg Hotel,Waterford,8.8,Excellent,2014,Twin Room,2 twin beds,Free cancellation,No prepayment needed,1,309.0,No rated,Breakfast included
265,Kilkenny Ormonde Hotel,"Kilkenny City Centre, Kilkenny",8.1,Very Good,2508,Classic Room,"2 beds (1 twin, 1 queen)",Free cancellation,Prepayment needed,5,289.0, 9.5,Room Only
266,The Bowers Bar & Restaurant,Ballinrobe,8.2,Very Good,357,Double Room,1 full bed,Free cancellation,No prepayment needed,1,110.0,No rated,Breakfast included
267,Kilcoran Lodge Hotel & Leisure Centre,Cahir,7.7,Good,617,Triple Room,"2 beds (1 twin, 1 full)",Free cancellation,No prepayment needed,4,165.0,No rated,Room Only
268,Plaza Hotel Tallaght,Tallaght,8.4,Very Good,1251,Twin Room,2 twin beds,Free cancellation,No prepayment needed,3,199.0,No rated,Room Only
269,Marine Hotel,Sutton,7.7,Good,1591,Superior Double Room with Sea View,1 king bed,Check Policy,Prepayment needed,0,278.0,No rated,Room Only
270,"Four Seasons Hotel, Carlingford",Carlingford,8.4,Very Good,617,Executive Twin Room,2 twin beds,Free cancellation,No prepayment needed,1,340.0, 9.5,Breakfast included
271,Trinity Townhouse Hotel,"Saint Stephen's Green, Dublin",9.1,Wonderful,1787,Small Double Room,1 full bed,Check Policy,Prepayment needed,4,724.0, 9.8,Breakfast included
272,Celtic Ross Hotel & Leisure Centre,Rosscarbery,8.0,Very Good,403,Twin Room,2 twin beds,Free cancellation,No prepayment needed,1,199.0,No rated,Room Only
273,"The Morrison Dublin, Curio Collection by Hilton","Dublin City Centre, Dublin",8.7,Excellent,1770,Superior King Room,1 king bed,Check Policy,Prepayment needed,3,302.0, 9.6,Room Only
274,The Dean Cork,Cork,8.7,Excellent,3996,Super Rooms,1 queen bed,Check Policy,Prepayment needed,0,233.0,No rated,Room Only
275,Clifden Station House Hotel,Clifden,8.6,Excellent,836,Standard Double or Twin Room,"2 beds (1 twin, 1 full)",Free cancellation,No prepayment needed,1,251.0, 9.4,Breakfast included
276,"Maldron Hotel & Leisure Centre, Oranmore Galway",Oranmore,8.0,Very Good,2235,Double Room,1 full bed,Free cancellation,No prepayment needed,0,199.0,No rated,Room Only
277,Harvey's Point,Donegal,9.5,Exceptional,800,Executive Twin Suite,2 queen beds,Check Policy,Prepayment needed,1,360.0, 9.5,Breakfast included
278,Raheen Woods Hotel,Athenry,8.7,Excellent,1314,Double Room,1 queen bed,Free cancellation,No prepayment needed,6,184.0,No rated,Room Only
279,The Gateway Hotel,Swinford,8.2,Very Good,439,Double Room,1 full bed,Free cancellation,No prepayment needed,3,170.0,No rated,Breakfast included
280,The K Club,Straffan,9.1,Wonderful,493,Luxury Double or Twin Room,Multiple bed types,Check Policy,Prepayment needed,0,519.0, 9.6,Breakfast included
281,Mulcahys,Clonmel,8.7,Excellent,404,Double Room,1 full bed,Free cancellation,No prepayment needed,2,150.0, 9.3,Room Only
282,Killarney Court Hotel,Killarney,8.1,Very Good,3620,Standard Double Room,1 full bed,Free cancellation,No prepayment needed,2,209.0,No rated,Room Only
283,"The Dunraven, Adare",Adare,8.5,Very Good,721,Superior Double Room,1 full bed,Free cancellation,Prepayment needed,1,295.0, 9.3,Breakfast included
284,Garryvoe Hotel,Ballycotton,8.5,Very Good,327,Classic double room,1 full bed,Free cancellation,Prepayment needed,0,248.0, 9.4,Room Only
285,The Chancery Hotel,"Dublin City Centre, Dublin",9.2,Wonderful,227,Standard Double Room,1 full bed,Free cancellation,No prepayment needed,3,280.0, 9.6,Room Only
286,Clayton Hotel Cork City,Cork,8.1,Very Good,4617,Deluxe Double & Single Room,"2 beds (1 twin, 1 full)",Free cancellation,No prepayment needed,0,265.0,No rated,Room Only
287,The Town House Hotel,Naas,7.8,Good,482,Twin Room,2 twin beds,Check Policy,Prepayment needed,1,162.0,No rated,Breakfast included
288,The Lodge at Woodenbridge,Arklow,8.3,Very Good,949,Standard Double & Single Room,"2 beds (1 twin, 1 full)",Check Policy,Prepayment needed,1,186.0,No rated,Room Only
289,Hotel Kilkenny,Kilkenny,8.0,Very Good,1719,Triple Room,"2 beds (1 twin, 1 full)",Free cancellation,Prepayment needed,4,275.0,No rated,Room Only
290,Baileys Hotel Cashel,Cashel,8.9,Excellent,634,Penthouse Suite,"2 beds (1 king, 1 sofa bed)",Free cancellation,No prepayment needed,1,395.0, 9.5,Breakfast included
291,Moxy Dublin City,"Dublin City Centre, Dublin",8.3,Very Good,2721,Queen Room,1 queen bed,Free cancellation,No prepayment needed,4,279.0, 9.3,Room Only
292,An Cruiscin Lan,Spiddal,7.6,Good,616,Twin Room with Bathroom,2 twin beds,Free cancellation,Prepayment needed,1,220.0,No rated,Breakfast included
293,The Listowel Arms Hotel,Listowel,8.4,Very Good,439,Standard Double Room,1 full bed,Free cancellation,No prepayment needed,6,240.0, 9.4,Breakfast included
294,Staycity Aparthotels Dublin Mark Street,"Dublin City Centre, Dublin",8.8,Excellent,4303,Studio,1 queen bed,Check Policy,Prepayment needed,0,275.0,No rated,Room Only
295,Blarney Woollen Mills Hotel - BW Signature Collection,Blarney,8.7,Excellent,1724,Classic King Room,1 king bed,Check Policy,Prepayment needed,1,266.0, 9.3,Breakfast included
296,Pillo Hotel & Leisure Club,Ashbourne,7.6,Good,1471,Double Room,1 full bed,Check Policy,Prepayment needed,0,260.0,No rated,Room Only
297,Woodenbridge Hotel,Arklow,8.4,Very Good,1701,Standard Hotel Room,1 full bed,Check Policy,Prepayment needed,3,205.0,No rated,Room Only
298,Kiltimagh Park Hotel,Kiltimagh,8.8,Excellent,991,Double Room,Beds: 1 double or 2 twins,Free cancellation,No prepayment needed,0,151.0,No rated,Breakfast included
299,Hyatt Centric The Liberties Dublin,"Dublin City Centre, Dublin",8.9,Excellent,3336,King Room,1 king bed,Check Policy,Prepayment needed,6,310.0,No rated,Room Only
300,Scholars Townhouse Hotel,Drogheda,8.8,Excellent,680,Double Room,1 full bed,Free cancellation,Prepayment needed,1,199.0,No rated,Room Only
301,Delphi Lodge,Leenaun,9.3,Wonderful,119,Double Room,1 full bed,Check Policy,Prepayment needed,2,359.0, 9.7,Breakfast included
302,Base Dingle,Dingle,8.8,Excellent,760,Deluxe King Room,1 queen bed,Check Policy,Prepayment needed,1,295.0, 9.7,Room Only
303,The Lodge at Ashford Castle,Cong,9.1,Wonderful,629,Superior Deluxe Double or Twin Room,2 twin beds,Check Policy,Prepayment needed,2,415.0, 9.6,Breakfast included
304,Devon Inn Hotel,Templeglantine,8.1,Very Good,159,Twin Room,2 twin beds,Free cancellation,No prepayment needed,1,170.0,No rated,Breakfast included
305,Hilton Dublin Kilmainham,Dublin,8.6,Excellent,1997,Double Room,1 full bed,Check Policy,Prepayment needed,0,288.0,No rated,Room Only
306,Arthaus Hotel,"Saint Stephen's Green, Dublin",8.7,Excellent,2073,Standard Queen Room,1 queen bed,Free cancellation,No prepayment needed,3,399.0, 9.6,Room Only
307,Castle Dargan Hotel,Sligo,8.1,Very Good,1363,Castle Dargan Executive Junior Room,1 full bed,Free cancellation,No prepayment needed,1,179.0,No rated,Breakfast included
308,Gullane's Hotel,Ballinasloe,8.8,Excellent,1064,Twin Room,"2 beds (1 twin, 1 full)",Free cancellation,Prepayment needed,2,169.0,No rated,Breakfast included
309,Cliff House Hotel,Ardmore,9.1,Wonderful,722,Deluxe Room with Sea View,1 full bed,Check Policy,Prepayment needed,1,664.0, 9.6,Breakfast included
310,Carrickdale Hotel & Spa,Dundalk,8.2,Very Good,917,Double Room,1 full bed,Free cancellation,No prepayment needed,3,229.0,No rated,Room Only
311,Schoolhouse Hotel,"Ballsbridge, Dublin",8.6,Excellent,1937,Deluxe King Room,1 king bed,Free cancellation,No prepayment needed,1,419.0,No rated,Room Only
312,Club House Hotel Kilkenny,"Kilkenny City Centre, Kilkenny",7.4,Good,2413,Double Room,1 full bed,Free cancellation,Prepayment needed,2,230.0, 9.5,Room Only
313,Anantara The Marker Dublin- A Leading Hotel of the World,"Dublin City Centre, Dublin",8.9,Excellent,3182,Double Premium,1 king bed,Check Policy,Prepayment needed,0,426.0,No rated,Room Only
314,Horse & Hound,Delgany,8.5,Very Good,795,Bellevue- External Bathroom,Multiple bed types,Free cancellation,Prepayment needed,1,189.0,No rated,Room Only
315,Glashaus Hotel,Tallaght,8.2,Very Good,1257,Standard Double Room,1 full bed,Free cancellation,Prepayment needed,2,219.0,No rated,Room Only
316,"InterContinental Dublin, an IHG Hotel","Ballsbridge, Dublin",8.7,Excellent,854,Standard Double Room,1 king bed,Free cancellation,No prepayment needed,6,504.0,No rated,Room Only
317,Killarney Plaza Hotel & Spa,Killarney,8.8,Excellent,3189,Deluxe King Room,1 queen bed,Check Policy,Prepayment needed,3,299.0, 9.8,Room Only
318,The Leinster,"Dublin City Centre, Dublin",9.2,Wonderful,48,Standard King Room,1 full bed,Check Policy,Prepayment needed,3,350.0,No rated,Room Only
319,The Lansdowne Hotel,"Ballsbridge, Dublin",7.5,Good,2243,Double Room,1 full bed,Free cancellation,No prepayment needed,5,284.0,No rated,Room Only
320,The Galmont Hotel & Spa,Galway,8.2,Very Good,4070,Queen Room - Disability Access,1 king bed,Check Policy,Prepayment needed,0,320.0, 9.3,Breakfast included
321,The Brehon Hotel & Spa,Killarney,9.0,Wonderful,1863,Superior Deluxe Double Room,1 queen bed,Check Policy,Prepayment needed,1,325.0,No rated,Room Only
322,Hilton Dublin,"Dublin City Centre, Dublin",8.0,Very Good,2257,Superior Queen Room,1 queen bed,Check Policy,Prepayment needed,0,256.0,No rated,Room Only
323,Hard Rock Hotel Dublin,"Temple Bar, Dublin",8.9,Excellent,3088,Standard Queen Room,1 queen bed,Free cancellation,Prepayment needed,3,359.0, 9.7,Room Only
324,Brooks Hotel,"Saint Stephen's Green, Dublin",8.3,Very Good,953,Classic Double Room,1 full bed,Free cancellation,No prepayment needed,0,324.0, 9.7,Room Only
325,Westgrove Hotel,Clane,7.9,Good,534,Double Room,1 full bed,Free cancellation,No prepayment needed,4,215.0,No rated,Room Only
326,Falls Hotel & Spa,Ennistymon,8.2,Very Good,888,Double Room with Private Bathroom,1 full bed,Check Policy,Prepayment needed,0,341.0,No rated,Breakfast included
327,Thirteen On The Green - Eyre Square,Galway,7.6,Good,2048,Twin Room,2 twin beds,Free cancellation,Prepayment needed,1,280.0, 9.4,Room Only
328,Westport Coast Hotel,Westport,8.8,Excellent,1062,Twin Room,Multiple bed types,Check Policy,Prepayment needed,7,274.0,No rated,Breakfast included
329,The Grafton Hotel,"Saint Stephen's Green, Dublin",8.7,Excellent,1924,Standard Double Room,1 full bed,Free cancellation,No prepayment needed,0,397.0, 9.8,Room Only
330,Carlton Hotel Blanchardstown,Blanchardstown,8.1,Very Good,1983,Superior Double Room,1 full bed,Check Policy,Prepayment needed,0,210.0,No rated,Room Only
331,Stella Maris Shore House,Ballycastle,9.2,Wonderful,142,Double Room with Garden View,1 full bed,Check Policy,Prepayment needed,2,220.0, 9.4,Breakfast included
332,Moy Hotel,Mayo,8.6,Excellent,108,Small Double Room,1 full bed,Free cancellation,Prepayment needed,3,195.0,No rated,Breakfast included
333,Ballyseede Castle,Tralee,9.2,Wonderful,951,Junior Castle Suite,1 king bed,Check Policy,Prepayment needed,1,438.0,No rated,Breakfast included
334,Hotel Killarney,Killarney,8.0,Very Good,2729,Standard Double Room,1 king bed,Free cancellation,No prepayment needed,0,279.0,No rated,Breakfast included
335,McGrory's Hotel,Culdaff,8.9,Excellent,303,Standard Double or Twin Room,Beds: 1 double or 2 twins,Check Policy,Prepayment needed,2,175.0,No rated,Breakfast included
336,Sandymount Hotel,"Ballsbridge, Dublin",8.5,Very Good,2252,Twin Room,2 twin beds,Check Policy,Prepayment needed,0,246.0,No rated,Room Only
337,Sonder Mountjoy Square,"Dublin City Centre, Dublin",8.2,Very Good,1474,Superior Apartment,1 full bed,Check Policy,Prepayment needed,1,316.0,No rated,Room Only
338,Dorrians Imperial Hotel,Ballyshannon,8.6,Excellent,360,Double Room,1 full bed,Free cancellation,No prepayment needed,3,140.0,No rated,Breakfast included
339,Hotel Ceann Sibeal,Dingle,8.4,Very Good,770,Comfort Triple Room,"3 beds (2 twins, 1 queen)",Free cancellation,Prepayment needed,2,286.0,No rated,Breakfast included
340,The Mayson,"Dublin City Centre, Dublin",8.3,Very Good,4313,Warehouse Suite,"2 beds (1 sofa bed, 1 queen)",Check Policy,Prepayment needed,3,659.0,No rated,Room Only
341,Nox Hotel Galway,Galway,8.4,Very Good,4869,Double Room,1 full bed,Check Policy,Prepayment needed,0,266.0,No rated,Room Only
342,The Merrion Hotel,"Saint Stephen's Green, Dublin",9.3,Wonderful,847,Double Room,1 full bed,Free cancellation,No prepayment needed,1,670.0, 9.8,Room Only
343,The Connacht Hotel,Galway,8.3,Very Good,3786,Double Room,1 king bed,Free cancellation,Prepayment needed,4,269.0,No rated,Room Only
344,The Wilder,"Dublin City Centre, Dublin",9.1,Wonderful,831,Shoebox Single Room,1 full bed,Free cancellation,Prepayment needed,1,409.0, 9.3,Room Only
345,Staycity Aparthotels Dublin Castle,"Dublin City Centre, Dublin",8.8,Excellent,2203,Studio,1 queen bed,Check Policy,Prepayment needed,2,257.0, 9.4,Room Only
346,Ferrycarrig Hotel,Wexford,8.6,Excellent,1245,Deluxe Double Room,1 full bed,Free cancellation,No prepayment needed,5,276.0,No rated,Room Only
347,The Rose Hotel,Tralee,8.7,Excellent,980,Deluxe Double Room,2 queen beds,Free cancellation,Prepayment needed,5,265.0,No rated,Room Only
