,hotel name,city,score,review rate,reviews,room type,occupancy,Free cancellation,No prepayment needed,rooms left,price,location rate,bb included
348,The Dean Dublin,"Saint Stephen's Green, Dublin",8.1,Very Good,2626,Small Double Room,1 full bed,Check Policy,Prepayment needed,7,329.0,No rated,Room Only
349,Lord Bagenal Inn,Leighlinbridge,8.7,Excellent,554,Double Room,1 full bed,Free cancellation,No prepayment needed,2,245.0,No rated,Breakfast included
350,Aspect Hotel Park West,Clondalkin,7.7,Good,1292,Standard Double Room,1 full bed,Free cancellation,No prepayment needed,0,194.0,No rated,Room Only
351,The Fitzwilliam Hotel,"Saint Stephen's Green, Dublin",8.6,Excellent,1898,Garden View Room,1 full bed,Check Policy,Prepayment needed,0,381.0, 9.8,Room Only
352,Castleknock Hotel,Blanchardstown,8.7,Excellent,2378,Standard Room,1 full bed,Free cancellation,Prepayment needed,0,246.0,No rated,Breakfast included
353,Woodfield House Hotel,Limerick,8.0,Very Good,2075,Double Room,1 full bed,Free cancellation,No prepayment needed,4,199.0,No rated,Room Only
354,Travelodge Plus Galway,Galway,8.2,Very Good,1635,Twin Room with Private Bathroom,"2 beds (1 twin, 1 king)",Free cancellation,No prepayment needed,5,219.0,No rated,Room Only
355,The Hoban Hotel Kilkenny,Kilkenny,8.1,Very Good,1218,Deluxe Triple Room,"2 beds (1 twin, 1 full)",Free cancellation,Prepayment needed,1,324.0,No rated,Room Only
356,Barberstown Castle,Straffan,8.8,Excellent,377,Double Room with Four Poster Bed,1 full bed,Free cancellation,Prepayment needed,2,290.0,No rated,Room Only
357,White Sands Hotel,Portmarnock,7.0,Good,1499,Double or Twin Room,"2 beds (1 twin, 1 full)",Check Policy,Prepayment needed,0,202.0,No rated,Room Only
358,Dingle Skellig Hotel,Dingle,8.3,Very Good,273,Standard Double/Twin Room,"2 beds (1 twin, 1 full)",Free cancellation,No prepayment needed,0,355.0, 9.3,Breakfast included
359,Aloft Dublin City,"Dublin City Centre, Dublin",8.6,Excellent,1142,Aloft King Room,1 king bed,Free cancellation,No prepayment needed,7,609.0,No rated,Room Only
360,The Morgan Hotel,"Temple Bar, Dublin",8.6,Excellent,1995,Signature Queen Room,1 queen bed,Free cancellation,No prepayment needed,4,317.0, 9.6,Room Only
361,"The Shelbourne, Autograph Collection","Saint Stephen's Green, Dublin",8.7,Excellent,713,Large One-Bedroom King Suite,"3 beds (2 fulls, 1 king)",Free cancellation,No prepayment needed,2,2350.0, 9.7,Room Only
362,The Davenport,"Dublin City Centre, Dublin",8.6,Excellent,909,Double Standard,1 queen bed,Check Policy,Prepayment needed,0,347.0, 9.4,Room Only
363,Menlo Park Hotel,Galway,8.7,Excellent,4866,Double Room,1 queen bed,Free cancellation,Prepayment needed,0,226.0,No rated,Room Only
364,Court Yard Hotel,Leixlip,8.4,Very Good,751,Superior Double Room,1 queen bed,Free cancellation,Prepayment needed,6,270.0,No rated,Breakfast included
365,The Killarney Park,Killarney,9.5,Exceptional,447,Classic King Room,1 king bed,Check Policy,Prepayment needed,6,555.0, 9.8,Breakfast included
366,Royal Valentia Hotel,Valentia Island,8.4,Very Good,864,Standard Twin Room,"2 beds (1 twin, 1 full)",Free cancellation,No prepayment needed,1,140.0, 9.6,Breakfast included
367,Dublin Citi Hotel of Temple Bar,"Temple Bar, Dublin",7.3,Good,1058,Double Room,1 full bed,Check Policy,Prepayment needed,4,252.0,No rated,Room Only
368,Actons Hotel Kinsale,Kinsale,8.7,Excellent,388,Classic Double Room,1 full bed,Check Policy,Prepayment needed,2,320.0, 9.6,Breakfast included
369,Kilkenny Pembroke Hotel,"Kilkenny City Centre, Kilkenny",8.6,Excellent,1433,Executive King Room,1 king bed,Check Policy,Prepayment needed,4,319.0, 9.7,Breakfast included
370,Lough Eske Castle,Donegal,8.8,Excellent,662,Junior Suite,1 king bed,Free cancellation,No prepayment needed,1,717.0,No rated,Breakfast included
371,Teac Jack,Bunbeg,8.7,Excellent,540,Double Room,1 full bed,Free cancellation,No prepayment needed,2,140.0, 9.4,Breakfast included
372,Leixlip Manor Hotel,Leixlip,8.0,Very Good,2546,Superior Double Room - Manor House,1 king bed,Free cancellation,Prepayment needed,3,214.0,No rated,Room Only
373,The Western Hotel,Galway,8.2,Very Good,3506,Standard Double Room,1 full bed,Free cancellation,Prepayment needed,2,285.0, 9.4,Room Only
374,Grafton Street Studios by City Break Apartments,"Saint Stephen's Green, Dublin",8.3,Very Good,1496,Loft Studio,1 queen bed,Check Policy,Prepayment needed,0,342.0, 9.7,Room Only
375,REZz Cork,Cork,6.9,Not Good,3955,Budget Double Room,1 full bed,Check Policy,Prepayment needed,0,150.0,No rated,Room Only
376,Travelodge PLUS Dublin City Centre,"Dublin City Centre, Dublin",8.3,Very Good,4912,Superior Double Room,1 full bed,Free cancellation,No prepayment needed,5,249.0,No rated,Room Only
377,The Snug Townhouse,Galway,8.5,Very Good,2458,The Cozy Room,1 queen bed,Free cancellation,Prepayment needed,3,329.0, 9.7,Room Only
378,Hotel Curracloe,Curracloe,7.9,Good,1068,Double Room,1 full bed,Free cancellation,Prepayment needed,3,129.0,No rated,Room Only
379,"Green Isle Hotel, Dublin",Clondalkin,7.2,Good,1945,Double Room,1 full bed,Check Policy,Prepayment needed,0,237.0,No rated,Room Only
380,Avalon House Hotel,Castlecomer,8.7,Excellent,706,Small Double Room,1 full bed,Check Policy,Prepayment needed,1,279.0,No rated,Room Only
381,Shamrock Inn Hotel,Lahinch,8.3,Very Good,344,Double Room,1 full bed,Free cancellation,No prepayment needed,2,195.0, 9.5,Room Only
382,Ã“stÃ¡n OileÃ¡n Acla,Achill Sound,8.1,Very Good,480,Family Room (2 Adults + 2 Children),"3 beds (2 twins, 1 full)",Check Policy,Prepayment needed,1,178.0,No rated,Breakfast included
383,Baginbun Lodge,Fethard on Sea,8.8,Excellent,689,Double Room,1 full bed,Free cancellation,Prepayment needed,5,162.0,No rated,Breakfast included
384,The Horse and Hound Hotel,Ballynabola,8.2,Very Good,423,Double or Twin Room,Multiple bed types,Check Policy,Prepayment needed,7,135.0,No rated,Room Only
385,Killarney Heights Hotel,Killarney,8.4,Very Good,1807,Twin room,"2 beds (1 twin, 1 full)",Check Policy,Prepayment needed,0,251.0,No rated,Room Only
386,Rochestown Lodge Hotel,Dun Laoghaire,8.1,Very Good,1637,Classic Double and Single Room,"2 beds (1 twin, 1 full)",Free cancellation,Prepayment needed,0,179.0,No rated,Room Only
387,Vaughan Lodge Hotel,Lahinch,9.1,Wonderful,546,Deluxe King Studio,1 queen bed,Check Policy,Prepayment needed,1,300.0, 9.6,Breakfast included
388,Summerhill House Hotel,Enniskerry,8.0,Very Good,1721,Twin Room,2 twin beds,Free cancellation,Prepayment needed,1,270.0,No rated,Breakfast included
389,Troysgate House,"Kilkenny City Centre, Kilkenny",5.9,Not Good,190,Standard Double Room,1 full bed,Check Policy,Prepayment needed,0,229.0,No rated,Room Only
390,Dublin One,"Dublin City Centre, Dublin",8.4,Very Good,6288,Standard Double Room,1 full bed,Check Policy,Prepayment needed,0,344.0,No rated,Room Only
391,Keenans Boutique Hotel,Termonbarry,8.9,Excellent,385,Deluxe Twin Room,2 twin beds,Check Policy,Prepayment needed,1,184.0,No rated,Breakfast included
392,Towers Hotel Glenbeigh,Glenbeigh,8.1,Very Good,396,Deluxe Double Room (no pets allowed),1 queen bed,Free cancellation,No prepayment needed,5,230.0,No rated,Breakfast included
393,The Copper Still Bar,Dromod,8.6,Excellent,265,Deluxe Double Room with Shower,1 full bed,Free cancellation,No prepayment needed,6,139.0,No rated,Room Only
394,The James Hotel,Tralee,9.1,Wonderful,86,Suite,2 queen beds,Free cancellation,No prepayment needed,1,570.0, 9.6,Room Only
395,Glenlo Abbey Hotel,Galway,9.1,Wonderful,691,Classic King Room,1 queen bed,Check Policy,Prepayment needed,3,529.0, 9.4,Breakfast included
396,Metro Hotel Dublin Airport,Santry,8.2,Very Good,5048,Double Room,1 queen bed,Free cancellation,Prepayment needed,4,211.0,No rated,Room Only
397,O'Shea's Hotel,Tramore,8.0,Very Good,677,Triple Room (One Double and One Single Bed),"3 beds (2 twins, 1 queen)",Check Policy,Prepayment needed,1,177.0, 9.3,Room Only
398,Zanzibar Locke,"Dublin City Centre, Dublin",9.2,Wonderful,5143,Locke Studio,1 queen bed,Check Policy,Prepayment needed,6,284.0, 9.8,Room Only
399,The Sliding Rock Inn,Galway,7.8,Good,1754,Double Room,1 full bed,Free cancellation,No prepayment needed,1,210.0,No rated,Breakfast included
400,Greenhills Hotel Limerick,Limerick,7.9,Good,1750,Double or Twin Room,Beds: 1 double or 2 twins,Free cancellation,Prepayment needed,4,229.0,No rated,Room Only
401,"Keavan's Port Hotel , Dublin","Dublin City Centre, Dublin",8.5,Very Good,6998,Double or Twin Room,Beds: 1 double or 2 twins,Free cancellation,Prepayment needed,5,229.0,No rated,Room Only
402,Handel's Hotel,"Temple Bar, Dublin",8.0,Very Good,2387,Standard Double Room,1 queen bed,Free cancellation,No prepayment needed,1,219.0, 9.5,Room Only
403,Cork's Vienna Woods Hotel & Villas,Cork,8.6,Excellent,1327,Double Standard,1 full bed,Check Policy,Prepayment needed,0,229.0,No rated,Room Only
404,Temple Bar Lane,"Temple Bar, Dublin",7.1,Good,3480,Double Room,1 full bed,Check Policy,Prepayment needed,3,229.0, 9.3,Room Only
405,Gleesons Townhouse Booterstown,Dublin,9.1,Wonderful,881,Double or Twin Room,Multiple bed types,Free cancellation,Prepayment needed,1,209.0,No rated,Room Only
406,Kilford Arms,"Kilkenny City Centre, Kilkenny",7.9,Good,1182,Double Room,1 full bed,Check Policy,Prepayment needed,0,246.0, 9.3,Room Only
407,"Staycity Aparthotels, Dublin, Christchurch","Dublin City Centre, Dublin",9.0,Wonderful,831,Two-Bedroom Apartment,"3 beds (2 fulls, 1 sofa bed)",Free cancellation,No prepayment needed,1,497.0, 9.4,Room Only
408,Bellinter House,Navan,8.0,Very Good,631,Deluxe Double Room,1 queen bed,Free cancellation,No prepayment needed,6,324.0,No rated,Breakfast included
409,The Gleneagle Hotel & Apartments,Killarney,8.2,Very Good,1638,Double Room,Beds: 1 double or 2 twins,Check Policy,Prepayment needed,0,231.0,No rated,Breakfast included
410,The Address Sligo,Sligo,7.5,Good,403,Twin Room,"2 beds (1 twin, 1 king)",Free cancellation,No prepayment needed,5,205.0,No rated,Room Only
411,"The House Hotel, an Ascend Hotel Collection Member",Galway,8.2,Very Good,1094,Standard Double or Twin Room,Multiple bed types,Free cancellation,No prepayment needed,2,314.0, 9.6,Breakfast included
412,Wellington Temple Bar,"Temple Bar, Dublin",8.3,Very Good,220,Double Room- no windows,1 full bed,Check Policy,Prepayment needed,5,280.0, 9.6,Room Only
413,Roganstown Hotel & Country Club,Swords,7.6,Good,1143,Classic Triple Room,"2 beds (1 twin, 1 full)",Free cancellation,Prepayment needed,0,219.0,No rated,Room Only
414,Ashling Hotel Dublin,"Dublin City Centre, Dublin",8.6,Excellent,3522,Classic Double Room,1 full bed,Free cancellation,No prepayment needed,1,289.0,No rated,Room Only
415,Corbett Court,Fermoy,8.1,Very Good,272,Twin Room,"2 beds (1 twin, 1 full)",Free cancellation,No prepayment needed,6,180.0,No rated,Breakfast included
416,Knockranny House Hotel & Spa,Westport,8.6,Excellent,360,Double Standard,1 full bed,Check Policy,Prepayment needed,0,290.0,No rated,Breakfast included
417,Jackson Court Hotel,"Saint Stephen's Green, Dublin",6.7,Not Good,2875,Cozy Double Room,1 full bed,Check Policy,Prepayment needed,6,239.0,No rated,Room Only
418,Kilcooly's Country House Hotel,Ballybunion,9.1,Wonderful,106,Deluxe Double Room,1 queen bed,Check Policy,Prepayment needed,4,180.0, 9.5,Room Only
419,REZz Dublin,"Temple Bar, Dublin",7.8,Good,1984,Double Room,1 queen bed,Free cancellation,No prepayment needed,0,230.0, 9.4,Room Only
420,The Cliff House Hotel,Ballybunion,8.2,Very Good,316,Standard Twin Room,2 twin beds,Free cancellation,No prepayment needed,1,240.0, 9.4,Breakfast included
421,Park House Hotel,Galway,8.5,Very Good,1821,Superior Double Room,1 full bed,Free cancellation,No prepayment needed,3,315.0, 9.6,Breakfast included
422,Kilmurry Lodge Hotel,Limerick,8.2,Very Good,1485,Double Classic,1 full bed,Check Policy,Prepayment needed,0,211.0,No rated,Room Only
423,Trident Hotel Kinsale,Kinsale,8.7,Excellent,381,Harbor View Room,1 king bed,Check Policy,Prepayment needed,2,360.0, 9.6,Breakfast included
424,The Carraig Hotel,Carrick-on-Suir,8.6,Excellent,252,Double Room,1 full bed,Free cancellation,Prepayment needed,6,160.0,No rated,Breakfast included
425,Moycarn Lodge & Marina,Ballinasloe,9.1,Wonderful,258,Deluxe Double Room with Balcony,1 full bed,Free cancellation,Prepayment needed,5,172.0,No rated,Breakfast included
426,Point A Hotel Dublin Parnell Street,"Dublin City Centre, Dublin",8.5,Very Good,5878,Double Room,1 full bed,Check Policy,Prepayment needed,0,301.0,No rated,Room Only
427,Clontarf Castle Hotel,"Clontarf, Dublin",8.9,Excellent,3108,Standard Double Room,1 full bed,Free cancellation,No prepayment needed,0,439.0,No rated,Room Only
428,The g Hotel,Galway,8.3,Very Good,2005,Atrium Suite,1 king bed,Free cancellation,Prepayment needed,1,731.0,No rated,Breakfast included
429,Powerscourt Springs Health Farm,Wicklow,8.1,Very Good,639,Double Room,1 full bed,Check Policy,Prepayment needed,5,230.0,No rated,Breakfast included
430,Ashley Hotel,Cork,6.3,Not Good,1256,Double Room,1 full bed,Free cancellation,No prepayment needed,1,170.0,No rated,Room Only
431,The Mont,"Dublin City Centre, Dublin",8.9,Excellent,1491,Double Classic King Bed,1 full bed,Check Policy,Prepayment needed,0,342.0, 9.5,Room Only
432,Rathkeale House Hotel,Limerick,8.0,Very Good,725,Deluxe Double Room (2 Adults + 1 Child),2 queen beds,Free cancellation,No prepayment needed,3,160.0,No rated,Room Only
433,Conrad Dublin,"Saint Stephen's Green, Dublin",8.5,Very Good,764,Superior King Room,1 king bed,Check Policy,Prepayment needed,0,380.0,No rated,Room Only
434,Broc House Suites,"Ballsbridge, Dublin",8.6,Excellent,1944,One-Bedroom Apartment,"2 beds (1 sofa bed, 1 queen)",Check Policy,Prepayment needed,6,231.0,No rated,Room Only
435,Shannon Springs Hotel,Shannon,8.6,Excellent,1219,Superior King Room,1 king bed,Free cancellation,Prepayment needed,4,254.0,No rated,Breakfast included
436,Travelodge Dublin City Rathmines,"Rathmines, Dublin",7.4,Good,1980,Double Room (2 Adults Only),1 full bed,Free cancellation,No prepayment needed,0,259.0,No rated,Room Only
437,Sliabh Beagh Hotel,Monaghan,8.4,Very Good,76,Classic Quadruple Room,"3 beds (2 twins, 1 full)",Check Policy,Prepayment needed,0,125.0,No rated,Room Only
438,The Gate Hotel,"Parnell Square, Dublin",6.1,Not Good,3246,Double Room,1 full bed,Check Policy,Prepayment needed,0,211.0,No rated,Room Only
439,Phoenix Park Hotel,Dublin,7.6,Good,3134,Double Room,1 full bed,Check Policy,Prepayment needed,3,206.0,No rated,Room Only
440,The Devlin Dublin,"Ballsbridge, Dublin",8.7,Excellent,1332,Small Double Room,1 full bed,Check Policy,Prepayment needed,0,279.0,No rated,Room Only
441,Hilton Dublin Airport,Cloghran,7.9,Good,1663,Double Room,1 full bed,Check Policy,Prepayment needed,3,246.0,No rated,Room Only
442,St Bridget's Apartments,Galway,8.1,Very Good,934,Two-Bedroom Apartment (3 Adults),"2 beds (1 twin, 1 full)",Check Policy,Prepayment needed,1,315.0, 9.3,Room Only
443,Carrigaline Court Hotel & Leisure Centre,Cork,8.6,Excellent,1473,Double Room,1 full bed,Free cancellation,Prepayment needed,7,212.0,No rated,Room Only
444,Wynn's Hotel,"Dublin City Centre, Dublin",8.5,Very Good,4130,Double Room,1 full bed,Free cancellation,No prepayment needed,0,269.0, 9.6,Breakfast included
445,Quinlan & Cooke Boutique Townhouse and QCs Seafood Restaurant,Cahersiveen,9.0,Wonderful,490,Deluxe Double Room,1 queen bed,Check Policy,Prepayment needed,0,229.0, 9.3,Breakfast included
446,The Westwood Summer Accommodation,Galway,8.0,Very Good,710,Double Room with Ensuite,1 full bed,Check Policy,Prepayment needed,0,199.0,No rated,Room Only
447,Chester Beatty Inn,Ashford,9.1,Wonderful,497,Deluxe King Room,1 king bed,Free cancellation,Prepayment needed,1,220.0,No rated,Breakfast included
448,The Bosun,Monkstown,8.2,Very Good,626,Double Room with Sea View,1 full bed,Check Policy,Prepayment needed,6,187.0,No rated,Breakfast included
449,Maryborough Hotel & Spa,Cork,8.4,Very Good,1167,Deluxe Double or Twin Room,Multiple bed types,Free cancellation,No prepayment needed,6,269.0,No rated,Breakfast included
450,Roxford Lodge Hotel,"Ballsbridge, Dublin",9.0,Wonderful,1986,Budget Unrenovated Double Room,1 full bed,Free cancellation,Prepayment needed,1,209.0,No rated,Room Only
451,Great National South Court Hotel,Limerick,8.1,Very Good,1193,Double Room,1 full bed,Check Policy,Prepayment needed,0,179.0,No rated,Breakfast included
452,Blarney Castle Hotel,Blarney,9.2,Wonderful,621,Double Room,1 full bed,Check Policy,Prepayment needed,1,189.0, 9.6,Breakfast included
453,The Inn at Dromoland,Newmarket on Fergus,8.0,Very Good,989,Family Room ( 2 Adults + 2 Children),"3 beds (2 twins, 1 full)",Check Policy,Prepayment needed,0,229.0,No rated,Room Only
454,The Draper Rooms,"Dublin City Centre, Dublin",8.4,Very Good,1124,Deluxe Double Room,1 full bed,Free cancellation,Prepayment needed,2,199.0,No rated,Room Only
455,53 Luxury Rooms,Maynooth,9.4,Wonderful,18,Deluxe Double Room,1 queen bed,Free cancellation,Prepayment needed,1,295.0, 9.7,Room Only
456,Torc Hotel,Killarney,8.1,Very Good,485,Standard Double Room,1 full bed,Check Policy,Prepayment needed,4,219.0,No rated,Breakfast included
457,The Camden Street Hotel,"Dublin City Centre, Dublin",6.8,Not Good,2057,Double Room,1 full bed,Free cancellation,Prepayment needed,0,320.0,No rated,Room Only
458,Feerick's Hotel,Rathowen,8.5,Very Good,379,Twin Room,2 twin beds,Free cancellation,Prepayment needed,1,150.0,No rated,Breakfast included
459,Ruby Molly Hotel Dublin,"Dublin City Centre, Dublin",8.5,Very Good,109,Lovely Room,1 queen bed,Check Policy,Prepayment needed,0,233.0,No rated,Room Only
460,Cashel House Hotel,Roundstone,8.8,Excellent,400,Double Room,1 queen bed,Check Policy,Prepayment needed,1,300.0,No rated,Breakfast included
461,Ardagh Hotel & Restaurant,Clifden,9.0,Wonderful,519,Triple Room (1 Double Bed + 1 Single Bed),"2 beds (1 twin, 1 king)",Check Policy,Prepayment needed,1,262.0,No rated,Breakfast included
462,Sheen Falls Lodge,Kenmare,9.0,Wonderful,318,Superior Double or Twin Room,Beds: 1 double or 2 twins,Check Policy,Prepayment needed,3,530.0, 9.7,Breakfast included
463,The Residence Hotel,Galway,8.5,Very Good,626,Standard Double Room,1 queen bed,Free cancellation,Prepayment needed,3,319.0, 9.6,Room Only
464,Stauntons on the Green Hotel,"Saint Stephen's Green, Dublin",9.1,Wonderful,2022,Small Double Room,1 full bed,Free cancellation,Prepayment needed,2,329.0, 9.7,Room Only
465,Inchydoney Island Lodge & Spa,Clonakilty,8.9,Excellent,195,Double or Twin Room with Terrace,Beds: 1 double or 2 twins,Check Policy,Prepayment needed,1,380.0, 9.8,Breakfast included
466,Kellys Hotel,"Saint Stephen's Green, Dublin",8.0,Very Good,779,Penthouse Suite,2 queen beds,Check Policy,Prepayment needed,1,761.0, 9.4,Room Only
467,Uppercross House Hotel,"Rathmines, Dublin",8.3,Very Good,764,Double Room,1 full bed,Check Policy,Prepayment needed,4,246.0,No rated,Breakfast included
468,Dylan,"Ballsbridge, Dublin",8.9,Excellent,95,Deluxe King Room,1 king bed,Free cancellation,No prepayment needed,0,505.0,No rated,Room Only
469,Rathbaun Hotel,Lisdoonvarna,8.7,Excellent,468,Double Room,1 full bed,Free cancellation,No prepayment needed,2,210.0,No rated,Room Only
470,The Dunloe Hotel & Gardens,Killarney,9.1,Wonderful,412,Garden Twin / Double Room,Multiple bed types,Check Policy,Prepayment needed,1,345.0, 9.5,Breakfast included
471,Hotel67,Killarney,8.0,Very Good,178,Double Room,1 full bed,Check Policy,Prepayment needed,4,225.0,No rated,Breakfast included
472,Waterloo Town House & Suites,"Ballsbridge, Dublin",8.5,Very Good,1178,King Room,1 queen bed,Check Policy,Prepayment needed,1,335.0,No rated,Room Only
473,Great Southern Killarney,Killarney,8.6,Excellent,350,Family Room,"2 beds (1 twin, 1 full)",Check Policy,Prepayment needed,2,498.0, 9.6,Room Only
474,Mount Falcon Estate,Ballina,8.0,Very Good,159,Superior Double Room,1 full bed,Free cancellation,No prepayment needed,4,340.0,No rated,Breakfast included
475,Seaview House Hotel,Bantry,8.5,Very Good,171,Double Standard,1 full bed,Check Policy,Prepayment needed,0,225.0,No rated,Breakfast included
476,Park Hotel Kenmare,Kenmare,9.1,Wonderful,162,Superior Double or Twin Room with Garden View,Beds: 1 double or 2 twins,Check Policy,Prepayment needed,5,635.0, 9.6,Room Only
477,Station View Tavern,Cork,6.9,Not Good,418,Double Room,1 full bed,Free cancellation,No prepayment needed,2,180.0,No rated,Room Only
478,Sonder The Earl,"Saint Stephen's Green, Dublin",7.7,Good,300,Double Room,1 full bed,Check Policy,Prepayment needed,1,219.0,No rated,Room Only
479,Castle Grove Country House Hotel,Letterkenny,9.1,Wonderful,143,Double Room,1 full bed,Free cancellation,No prepayment needed,4,185.0, 9.4,Breakfast included
480,The Auld Dubliner,"Temple Bar, Dublin",7.6,Good,89,Double Room,1 full bed,Check Policy,Prepayment needed,3,230.0,No rated,Room Only
481,The North Pole,Drumfree,9.2,Wonderful,65,Large Twin Room,2 twin beds,Free cancellation,Prepayment needed,1,120.0,No rated,Breakfast included
482,Dublin Castle Suites,"Temple Bar, Dublin",8.5,Very Good,25,Standard Suite,1 full bed,Check Policy,Prepayment needed,1,253.0, 9.4,Room Only
483,Sheedys Boutique Hotel & Restaurant,Lisdoonvarna,9.3,Wonderful,206,Double Room,Beds: 1 double or 2 twins,Check Policy,Prepayment needed,1,235.0,No rated,Breakfast included
484,Killarney Royal Hotel,Killarney,8.9,Excellent,157,Double Room,1 full bed,Check Policy,Prepayment needed,0,362.0, 9.6,Breakfast included
485,Tiernan's Luxury King Room Ensuite,Charlestown,9.7,Exceptional,38,Double Room with Private Bathroom,1 king bed,Check Policy,Prepayment needed,0,135.0, 9.3,Room Only
486,Hayfield Manor,Cork,8.9,Excellent,183,Manor Room,1 queen bed,Check Policy,Prepayment needed,0,508.0,No rated,Room Only
487,The Bailie,Cavan,8.8,Excellent,32,Budget Double Room,1 full bed,Free cancellation,Prepayment needed,4,155.0,No rated,Breakfast included
488,The Station House Hotel,Kilmessan,8.9,Excellent,39,Standard Double Room,1 full bed,Free cancellation,No prepayment needed,5,310.0,No rated,Breakfast included
489,Greenfield Lodge Hotel Bar & Bistro,Headford,6.3,Not Good,3,Double Room with Lake View,1 full bed,Free cancellation,Prepayment needed,1,180.0,No rated,Breakfast included
490,John EoinÃ¬n's Bar and accommodation,Glencolumbkille,9.6,Exceptional,14,Double Room with Sea View,1 full bed,Check Policy,Prepayment needed,2,110.0, 9.5,Room Only
491,Carrick Gate,Carrick,9.3,Wonderful,15,Twin Room,2 twin beds,Check Policy,Prepayment needed,5,125.0, 9.7,Breakfast included
493,The Acres B&B,Killala,7.9,Good,467,Deluxe Double Room,1 full bed,Free cancellation,No prepayment needed,3,130.0,No rated,Breakfast included
494,The Lanterns Hotel,Tarbert,7.4,Good,57,Standard Twin Room,2 twin beds,Check Policy,Prepayment needed,4,130.0,No rated,Room Only
495,Doolin House,Doolin,7.4,Good,72,Double Room,1 full bed,Free cancellation,Prepayment needed,2,120.0,No rated,Room Only
496,Ravine Hotel,Lisdoonvarna,7.8,Good,334,Double Room with Private Bathroom,1 full bed,Free cancellation,Prepayment needed,2,150.0,No rated,Breakfast included
497,White Sands Hotel,Ballyheigue,8.0,Very Good,168,Double or Twin Room,Beds: 1 double or 2 twins,Free cancellation,Prepayment needed,2,180.0, 9.3,Breakfast included
498,Upton Court Hotel,Kilmuckridge,7.6,Good,136,Double or Twin Room,Beds: 1 double or 2 twins,Check Policy,Prepayment needed,1,140.0,No rated,Breakfast included
499,The Abbeyleix Manor Hotel,Abbeyleix,8.0,Very Good,1444,Single Room,2 twin beds,Free cancellation,Prepayment needed,0,298.0,No rated,Room Only
500,New Park Hotel Athenry,Athenry,7.3,Good,244,Single Room,2 twin beds,Free cancellation,No prepayment needed,0,250.0,No rated,Room Only
